material_id,formula,bl_mean,bl_min,bl_max,bl_std,coord_num,bandwidth_W,uw_ratio,distortion,frac_octahedral,n_tm_sites,total_magnetization,num_magnetic_sites,is_magnetic,formation_energy_per_atom,energy_above_hull,nsites,volume_per_atom,density,nelements,band_gap,efermi,is_mott,is_mott_uw
mp-blrd,Li2FePCO7,2.036128760914849,1.9655430852600717,2.1565585445435023,0.0676468680327265,6.0,2.903810874123797,1.8251877515148425,0.0283732992495797,1.0,4,0.0,4,1,-2.284534291984127,0.018781355937496,48,11.597415720993332,2.68116619021341,5,2.4748,0.66521401,0,1
mp-bfyms,LiFeMoClO4,2.033381286263884,1.7649737925541733,2.586498172383911,0.1214618348254329,5.0,2.435565569185785,1.990376365268904,0.0890822064296639,0.5,4,7.9999652,4,1,-1.956749722291666,0.0,16,16.090151050203364,3.330549298794052,5,3.0476,-0.24809271,0,1
mp-bqzou,K3FePCO7,2.1979982333717683,2.1277852433002917,2.301912155660255,0.0589991998902089,6.0,2.4891274611768077,1.727512993848686,0.0228764406085976,1.0,4,2.1600000000000003e-05,4,1,-2.284019680107143,0.003321702692305,52,14.648726059087476,2.861137996901439,5,3.9412,1.1374864,0,1
mp-braqi,Li2ZnFe(PO4)2,2.1757192759513253,2.087068593577247,2.261022239102876,0.0745735383005002,6.0,2.543962063610069,1.690276780880759,0.0330321444234693,1.0,4,6.5e-06,4,1,-2.488912064889455,0.024070144821428,56,10.66044531958144,3.616881342597698,5,3.6034,2.53729885,0,1
mp-bratg,Li2FeNi(PO4)2,2.1466172570459103,2.050828421304149,2.2438848902939217,0.0588078975615125,6.0,2.610800074682404,2.004966058759837,0.0253502599657519,1.0,4,5.4000000000000005e-05,4,1,-2.420106471139456,0.002365609821428,28,10.472469521823678,3.605742545559589,5,3.0324,3.31119855,0,1
mp-bratm,Na3FeBPO7,2.06302650404027,1.9917865286343168,2.107292950654282,0.0394965997242995,6.0,2.822642767235216,1.8776729600789543,0.0154876402233756,1.0,2,10.0019335,2,1,-2.416258792534419,0.023322315618129,26,12.077411645928937,2.946490132451273,5,2.1181,1.56983849,0,1
mp-bravf,Li3FeBPO7,2.0351771934871405,1.9716351153613112,2.156963812433185,0.0585843761656724,6.0,2.904079604722289,1.8250188429345164,0.0207688038074705,1.0,2,1.9746426,2,1,-2.33503094029304,0.234721206620879,26,10.464335627318878,2.812989344667865,5,2.3438,1.47349711,0,1
mp-bravq,Na2FeBAsO7,2.029078176964158,1.9712547296100535,2.064300498458398,0.0374324122273809,6.0,2.917636035580724,1.8165391211810595,0.0172268907163222,1.0,2,8.0005487,4,1,-1.992145598702106,0.055858720148803,24,14.164257100516512,2.926493976256443,5,0.6697000000000001,-0.2851685,0,1
mp-brbbl,Na2FeBPO7,2.0292867463069086,1.9860680830962296,2.0659134825133796,0.0334197033000835,6.0,2.9164069153659833,1.8173047019177353,0.0161514219161607,1.0,2,8.00048,4,1,-2.314007649714012,0.055398535642364,24,13.286984286122804,2.6620177433427443,5,0.5201,0.10075854,0,1
mp-brejq,Li2FeCu(PO4)2,2.1351400074082605,1.9950396910503283,2.4045697061453732,0.1212978690732048,6.0,2.6613098371023027,1.963859953902802,0.0537567513985064,1.0,4,10.0000001,4,1,-2.3214841189965982,0.036195189285708,28,10.261485031079898,3.735969536404564,5,0.0,3.41235748,0,1
mp-brmuf,KFeH2S2O9,2.0252902910598607,1.991350210916519,2.078346787952021,0.0320849436981453,6.0,2.9277299734362865,1.8102762373420325,0.0147403284714675,1.0,4,2.1e-06,4,1,-1.8410944513166672,0.009657126333333,60,12.822863196068218,2.633855520563903,5,1.4988,-0.07507003,0,1
mp-brwha,Li3FeSiCO7,2.069628817827297,1.9666743349386624,2.3945594395956116,0.1524315761920843,6.0,2.8417513933524514,1.8650470313476368,0.0579150892040586,1.0,2,1.990305199999999,2,1,-2.195243866923076,0.214436383269219,26,10.464543382662203,2.792322335783762,5,2.6143,1.36095788,0,1
mp-brwln,Li3FeAsCO7,2.1678829367009236,2.037850871345063,2.2920493936720203,0.0986458162532634,6.0,2.5695756701172607,1.6734280500863588,0.039908904680876,1.0,4,16.0003907,2,1,-2.036051671346153,0.048485174615385,52,11.24112547137586,3.131619706571191,5,2.7162,1.48121166,0,1
mp-brwoh,Li2FeCSO7,2.152264445640807,2.0890821892694293,2.237368169838472,0.0541687380168098,6.0,2.595430170421888,1.6567581246756964,0.0230901582503993,1.0,2,8.0002905,2,1,-2.027221529930556,0.066578106458336,24,12.168940608322728,2.567651822906984,5,4.190300000000001,1.07689521,0,1
